sample,number of particles,average particle size,image coverage,rep
250211A1 ,1003.0,1991.336868141679,0.6742237413194445,2.0
250211A2 ,464.25,20533.706826350306,0.8781491427951389,2.5
250211A3 ,531.75,25093.592741605,0.8401131727430555,2.5
250211A4 ,136.25,67581.18533701246,0.9088624131944445,3.5
250211A5 ,2436.0,599.8496500890338,0.6050106336805555,2.6666666666666665
250211A6 ,649.6,2471.539620660129,0.6058373697916666,3.2
250211A7 ,734.3333333333334,4547.864991214242,0.8611865596064815,3.5
250211A8 ,913.5,6427.641582033118,0.8519066297743054,2.5
250211B1 ,1743.75,1807.2911378605058,0.6654393988715277,3.0
250213B3 ,1222.4,1272.4420566766603,0.6616963541666667,3.0
250213B4 ,2224.6,2459.8537097565636,0.7224957465277778,3.0
250213B5 ,2449.5,6235.33659926665,0.6236057942708334,3.5
250213B6 ,499.4,121777.7815078233,0.8911621961805555,3.2
250213B7 ,1355.6,3842.941434388346,0.7827490885416667,3.2
250213B8 ,1128.8333333333333,23854.674540584314,0.7664518590856481,3.8333333333333335
